Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
https://ibit.to,HTTPSConnectionPool(host='ibit.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.61.80', '203.50.11.95', '139.130.34.250', '61.9.173.4', '101.167.166.53']",8,[],[],"['172.67.197.179', '104.21.92.203']","['104.21.92.203', '172.67.197.179']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://onionplay.eu,HTTPSConnectionPool(host='onionplay.eu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '203.50.11.95', '139.130.34.250', '61.9.173.4', '101.167.166.53', '58.162.26.77']",8,[],[],[],[],[],[],[],[],N/A,[],[],[],[],N/A,[],[],[],[],"['False', 'False']","['False', 'False']"
https://onionplay-network.xyz/,HTTPSConnectionPool(host='onionplay-network.xyz'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x05DFE160>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')),10.18.0.1,['Errno11001getaddrinfofailed'],"[""HTTPConnectionPool(host='errno11001getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x05DFFD60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]",['[Errno 11001] getaddrinfo failed'],1,[],[],[],[],[],[],[],[],N/A,[],[],[],[],N/A,[],[],[],[],['False'],['False']
https://onionplay.co/,HTTPSConnectionPool(host='onionplay.co'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.65', '203.50.61.64', '203.50.11.177', '139.130.6.102', '61.9.172.4', '58.162.26.77', '101.167.164.53']",8,[],[],"['104.31.16.126', '104.31.16.3']","['104.31.16.126', '104.31.16.3']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://proxyportal.org,HTTPSConnectionPool(host='proxyportal.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '203.50.11.95', '139.130.34.250', '58.162.26.77', '61.9.173.4', '101.167.166.53']",8,[],[],['162.210.199.87'],['37.48.65.144'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://proxyportal.ws/,HTTPSConnectionPool(host='proxyportal.ws'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x04DAD8F8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond')),10.18.0.1,['64.70.19.203'],[405],"['10.0.0.138', '203.50.61.65', '203.50.13.144', '203.50.61.64', '58.162.26.77', '203.50.6.93', '203.50.13.98', '202.84.222.130', '203.50.13.98', '202.84.222.130', '202.84.141.225', '4.68.110.142', '134.159.61.106', '64.70.84.22', '64.70.11.62', '64.70.19.203']",16,[],[],['64.70.19.203'],['64.70.19.203'],[],[],[405],[405],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],['False'],['False']
https://p30download.com,HTTPSConnectionPool(host='p30download.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.11.177', '61.9.172.4', '139.130.6.102', '203.50.61.64', '101.167.164.53']",8,[],[],['5.144.130.115'],['5.144.130.115'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://torrentquest.com/,HTTPSConnectionPool(host='torrentquest.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.80', '203.50.61.81', '203.50.11.95', '61.9.173.4', '139.130.34.250', '101.167.166.53']",8,[],[],"['104.21.87.223', '172.67.170.253']","['172.67.170.253', '104.21.87.223']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
http://rutor.info/,200,10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.11.95', '139.130.34.250', '61.9.173.4', '203.50.61.80', '203.50.61.81', '101.167.166.53']",8,[],[],['193.46.255.29'],['193.46.255.29'],[],[],[404],[404],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
http://btbtdy.me/,200,10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '203.50.11.95', '58.162.26.77', '139.130.34.250', '61.9.173.4', '101.167.166.53']",8,[],[],['34.102.136.180'],['34.102.136.180'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
